original,translation,country
Booking Notification,Buchungsbenachrichtigung,DE
Custom Fonts,Benutzerdefinierte Schriftart,DE
Add New,Neue hinzufügen,DE
New Font,Neue Schriftart,DE
Edit Font,Schriftart bearbeiten,DE
View Font,Schriftart anzeigen,DE
All Fonts,Alle Schriftarten,DE
Search Fonts,Suche Schriftarten,DE
Source,Quellcode,DE
Dark Mode,Dunkler Modus,DE
Enable Dark Mode,Dunklen Modus aktivieren,DE
Border,Rand,DE
archive,Archiv,DE
barcode,Barcode,DE
View the Tutorial,Zeige tutorial,DE
Search for: %s,Suchen nach: %s,DE
Installing Plugin: %s,Plugin instalileren: %s,DE
Search...,Suchen...,DE
Active,Aktiv,DE
Enable,Einschalten,DE
Disable,Ausschalten,DE
Normal,Normal,DE
Display Title,Anzeigetitel,DE
Export,Export,DE
Import,Import,DE
Uploading...,Hochladen...,DE
Reset,Zurücksetzen,DE
Left,Links,DE
Right,Rechts,DE
Visibility,Sichtbarkeit,DE
Desktop,Desktop,DE
Mobile,Mobil,DE
android,Android,DE
backspace,Rücktaste,DE
Search Results for: %s,Suchergebnisse: %s,DE
PayPal ,PayPal,DE
Facebook,Facebook,DE

