original,translation,country
a.u.b. ,
aanduidingen,plaatshouders
aanpasser,customizer
admin,beheer
bijgewerkt,geüpdatet
Bijwerken,Updaten
bijwerken,updaten
 broodkruimels , kruimelpad 
child,sub
choose,kiezen
commentaar,reactie
comments,reacties
comment ,reactie 
content,inhoud
Coupons,Waardebonnen
Coupon ,Waardebon 
 coupons , waardebonnen 
coupon,waardebon
Data ,gegevens 
data ,gegevens 
dia's,slides
 dia , slide 
etc.,enz.
Fix,Oplossing
fragment,samenvatting
gedeelte,sectie
Icoon,Pictogram
iconen,pictorgrammen
icoon,pictogram
Indeling,Lay-out
 je heeft , je hebt 
 jouw , je 
kern,core
kinderthema,sub-thema
koptekst,header
layout,lay-out
logboeken,logs
logboek,log
 miniaturen , thumbnails
miniatuur,thumbnail
naaktslakken,slugs
notificaties,kennisgevingen
notificatie,kennisgeving 
onderliggende,sub-
opmerkingen,reacties
paginabuilder,paginabouwer
Paneermeel,Kruimelpaden
Plug-in,Plugin
plug-in,plugin
Post,Bericht
posts ,berichten 
 post , bericht 
recensie,beoordeling
responsief,responsive
responsieve,responsive
schuifregelaar,slider
services,diensten
Sjablonen,Templates
Sjabloon,Template
sjabloon,template
sjablonen,templates
tabblad,tab
 tekenreeks , string 
 tijdelijke aanduiding , plaatshouder 
tools,gereedschappen
Trechters,Funnels
Trechter,Funnel
trechters,funnels
trechter,funnel
Wilt u,Wil je
wilt u,wil je
Uw ,Je 
U ,Je 
 uw , je 
 u , je 
Je heeft,Je hebt
je heeft,je hebt
klikt je,klik je
krijgt je,krijg je
logt je,log je
Kunt je,Kun je
kunt je ,kun je 
leest je,lees je
navigeert je,navigeer je
selecteert je,selecteer je
Verberg ,Negeer 
 vervolgkeuzelijst, dropdown
voetteksten,footers
voettekst,footer
website,site
werkbalken,toolbars
werkbalk,toolbar
winkelwagentjes,winkelwagens
winkelwagentje,winkelwagen
zoekwoord,keyword
# ,#
&quot;,
&quot,&quot\;
&#39;,'
class = ,class=
 .,.
</a> ),</a>)
&gt; , > 
 / ,/
: //,://
<strong />,<strong/>
